data,categoria,descricao,entrada,saida
2026-01-02,Salário,Salário Mensal,4500.00,0.00
2026-01-03,Alimentação,Supermercado,0.00,328.45
2026-01-04,Transporte,Combustível,0.00,180.00
2026-01-05,Lazer,Cinema,0.00,52.00
2026-01-06,Saúde,Farmácia,0.00,87.30
2026-01-07,Alimentação,Restaurante,0.00,68.90
2026-01-08,Moradia,Aluguel,0.00,1400.00
2026-01-09,Contas,Internet,0.00,99.90
2026-01-10,Contas,Energia Elétrica,0.00,215.70
2026-01-11,Contas,Água,0.00,74.80
2026-01-12,Transporte,Uber,0.00,35.40
2026-01-13,Educação,Curso Online,0.00,129.90
2026-01-14,Renda Extra,Freelancer,850.00,0.00
2026-01-15,Alimentação,Padaria,0.00,24.60
2026-01-16,Lazer,Streaming,0.00,39.90
2026-01-17,Compras,Roupas,0.00,289.90
2026-01-18,Saúde,Consulta Médica,0.00,150.00
2026-01-19,Transporte,Ônibus,0.00,12.50
2026-01-20,Alimentação,Supermercado,0.00,245.30
2026-01-21,Renda Extra,Venda de Produto,320.00,0.00
2026-01-22,Contas,Gás,0.00,98.00
2026-01-23,Lazer,Pizzaria,0.00,92.40
2026-01-24,Alimentação,Cafeteria,0.00,18.90
2026-01-25,Investimento,Rendimento,120.00,0.00
2026-01-26,Compras,Eletrônicos,0.00,680.00
2026-01-27,Transporte,Combustível,0.00,210.00
2026-01-28,Saúde,Academia,0.00,89.90
2026-01-29,Alimentação,Lanche,0.00,27.50
2026-01-30,Outros,Presente,0.00,150.00
2026-01-31,Renda Extra,Cashback,45.00,0.00
2026-02-01,Salário,Salário Mensal,4500.00,0.00
2026-02-02,Moradia,Condomínio,0.00,420.00
2026-02-03,Alimentação,Supermercado,0.00,310.80
2026-02-04,Transporte,Uber,0.00,29.90
2026-02-05,Contas,Telefone,0.00,59.90
2026-02-06,Lazer,Show,0.00,180.00
2026-02-07,Renda Extra,Freelancer,950.00,0.00
2026-02-08,Saúde,Farmácia,0.00,43.70
2026-02-09,Educação,Livro,0.00,74.90
2026-02-10,Investimento,Dividendos,85.00,0.00
2026-02-11,Alimentação,Restaurante,0.00,56.40
2026-02-12,Compras,Mercado Online,0.00,198.30
2026-02-13,Transporte,Combustível,0.00,175.60
2026-02-14,Lazer,Viagem,0.00,950.00
2026-02-15,Outros,Doação,0.00,100.00
2026-02-16,Renda Extra,Venda de Móvel,600.00,0.00
2026-02-17,Contas,Energia Elétrica,0.00,201.40
2026-02-18,Alimentação,Padaria,0.00,22.90
2026-02-19,Saúde,Consulta Odontológica,0.00,180.00
2026-02-20,Investimento,Aplicação Resgatada,300.00,0.00
