Data,Ultimo,Abertura,Maxima,Minima
01/01/2026,"5,4778","5,4778","5,4778","5,4778"
31/12/2025,"5,4778","5,4778","5,4778","5,4778"
30/12/2025,"5,4778","5,5664","5,5688","5,474"
29/12/2025,"5,5707","5,5445","5,5859","5,541"
26/12/2025,"5,5439","5,546","5,5672","5,52"
25/12/2025,"5,521","5,521","5,521","5,521"
24/12/2025,"5,521","5,519","5,521","5,519"
23/12/2025,"5,5208","5,5915","5,597","5,5193"
22/12/2025,"5,5901","5,543","5,6068","5,5177"
19/12/2025,"5,543","5,522","5,5497","5,4981"
18/12/2025,"5,522","5,5193","5,5593","5,501"
17/12/2025,"5,5205","5,4683","5,5315","5,4683"
16/12/2025,"5,5093","5,4151","5,5093","5,4148"
15/12/2025,"5,4148","5,4187","5,4262","5,381"
12/12/2025,"5,419","5,4058","5,4265","5,3795"
11/12/2025,"5,4084","5,4718","5,4784","5,3952"
10/12/2025,"5,473","5,4405","5,4948","5,4182"
09/12/2025,"5,4336","5,4323","5,4959","5,421"
08/12/2025,"5,4303","5,4395","5,468","5,3864"
05/12/2025,"5,4395","5,3109","5,4842","5,2967"
04/12/2025,"5,3097","5,3079","5,3166","5,2877"
03/12/2025,"5,3079","5,3171","5,3245","5,2986"
02/12/2025,"5,3279","5,3575","5,3641","5,3264"
01/12/2025,"5,3575","5,3328","5,3657","5,324"
28/11/2025,"5,3368","5,3566","5,3581","5,3227"
27/11/2025,"5,3566","5,3322","5,3594","5,3291"
26/11/2025,"5,3324","5,3828","5,3909","5,3298"
25/11/2025,"5,3815","5,3886","5,4136","5,3561"
24/11/2025,"5,3886","5,4033","5,4079","5,3783"
21/11/2025,"5,4033","5,3308","5,4334","5,3308"
20/11/2025,"5,3333","5,3308","5,3333","5,3303"
19/11/2025,"5,3308","5,3222","5,3474","5,3207"
18/11/2025,"5,3222","5,328","5,3466","5,3152"
17/11/2025,"5,3294","5,2965","5,335","5,2923"
14/11/2025,"5,2965","5,2982","5,3176","5,2729"
13/11/2025,"5,2982","5,293","5,3061","5,2732"
12/11/2025,"5,293","5,2722","5,3032","5,2652"
11/11/2025,"5,2722","5,2913","5,2992","5,2633"
10/11/2025,"5,2912","5,334","5,334","5,2877"
07/11/2025,"5,3324","5,3502","5,3668","5,3314"
06/11/2025,"5,3502","5,3599","5,3643","5,3307"
05/11/2025,"5,3599","5,3976","5,405","5,3533"
04/11/2025,"5,3976","5,3572","5,4021","5,3563"
03/11/2025,"5,3572","5,3756","5,3829","5,3447"
31/10/2025,"5,3744","5,3815","5,4","5,3706"
30/10/2025,"5,3812","5,3587","5,3959","5,3547"
29/10/2025,"5,361","5,3585","5,3677","5,3342"
28/10/2025,"5,3584","5,3747","5,3887","5,3529"
27/10/2025,"5,3733","5,3904","5,3928","5,3584"
24/10/2025,"5,3896","5,3825","5,3987","5,3606"
23/10/2025,"5,3828","5,4034","5,404","5,3779"
22/10/2025,"5,4004","5,3884","5,4138","5,3759"
21/10/2025,"5,3881","5,3746","5,4056","5,3698"
20/10/2025,"5,3748","5,4044","5,412","5,3664"
17/10/2025,"5,4085","5,446","5,4605","5,4025"
16/10/2025,"5,446","5,4549","5,4593","5,42"
15/10/2025,"5,4552","5,4829","5,4847","5,4315"
14/10/2025,"5,4822","5,466","5,5198","5,4552"
13/10/2025,"5,4655","5,5209","5,5209","5,4412"
10/10/2025,"5,522","5,3693","5,5229","5,3599"
09/10/2025,"5,3685","5,3431","5,3801","5,3237"
08/10/2025,"5,3431","5,351","5,364","5,3293"
07/10/2025,"5,3511","5,3135","5,3566","5,3108"
06/10/2025,"5,3132","5,3374","5,3503","5,308"
03/10/2025,"5,3375","5,3405","5,362","5,3243"
02/10/2025,"5,3386","5,3297","5,3732","5,3071"
01/10/2025,"5,3294","5,3233","5,3367","5,2935"
30/09/2025,"5,3229","5,3216","5,3345","5,3042"
29/09/2025,"5,3221","5,3448","5,3469","5,3044"
26/09/2025,"5,3431","5,3637","5,3675","5,3354"
25/09/2025,"5,3639","5,3327","5,3713","5,3088"
24/09/2025,"5,333","5,2825","5,334","5,2768"
23/09/2025,"5,2829","5,3355","5,3467","5,2767"
22/09/2025,"5,3353","5,3241","5,3666","5,3202"
19/09/2025,"5,3238","5,3126","5,3398","5,3043"
18/09/2025,"5,3138","5,3058","5,3195","5,2695"
17/09/2025,"5,3059","5,2968","5,3137","5,2753"
16/09/2025,"5,2972","5,3173","5,3224","5,2913"
15/09/2025,"5,3168","5,352","5,3581","5,3087"
12/09/2025,"5,3549","5,3896","5,405","5,3439"
11/09/2025,"5,3903","5,408","5,4241","5,3736"
10/09/2025,"5,4087","5,4392","5,4409","5,3987"
09/09/2025,"5,4398","5,4196","5,4435","5,4135"
08/09/2025,"5,4196","5,413","5,4487","5,4003"
05/09/2025,"5,4134","5,4473","5,4499","5,382"
04/09/2025,"5,4462","5,4519","5,4723","5,4415"
03/09/2025,"5,4516","5,4649","5,472","5,434"
02/09/2025,"5,465","5,4399","5,5017","5,4383"
01/09/2025,"5,4403","5,4237","5,4499","5,415"
29/08/2025,"5,4304","5,4134","5,443","5,4113"
28/08/2025,"5,4129","5,4188","5,4317","5,3947"
27/08/2025,"5,4178","5,4311","5,4584","5,4147"
26/08/2025,"5,4311","5,4121","5,4501","5,3987"
25/08/2025,"5,4121","5,4234","5,4365","5,4014"
22/08/2025,"5,4227","5,475","5,4778","5,4078"
21/08/2025,"5,471","5,4831","5,4961","5,4662"
20/08/2025,"5,4829","5,5036","5,5061","5,462"
19/08/2025,"5,504","5,4372","5,5083","5,4309"
18/08/2025,"5,4368","5,4009","5,4407","5,398"
15/08/2025,"5,4009","5,416","5,4165","5,3845"
14/08/2025,"5,416","5,399","5,432","5,3895"
13/08/2025,"5,3991","5,389","5,4114","5,38"
12/08/2025,"5,3895","5,4428","5,4461","5,3848"
11/08/2025,"5,4424","5,4338","5,4597","5,4318"
08/08/2025,"5,434","5,4236","5,443","5,4131"
07/08/2025,"5,4236","5,4643","5,4765","5,4158"
06/08/2025,"5,4632","5,5081","5,5116","5,458"
05/08/2025,"5,5075","5,4984","5,5356","5,4969"
04/08/2025,"5,4988","5,5421","5,5439","5,4952"
01/08/2025,"5,542","5,6003","5,6286","5,5252"
31/07/2025,"5,6015","5,5695","5,6248","5,5213"
30/07/2025,"5,5695","5,5744","5,6307","5,5438"
29/07/2025,"5,5747","5,5893","5,6067","5,5588"
28/07/2025,"5,5888","5,5642","5,6063","5,5642"
25/07/2025,"5,5633","5,5213","5,574","5,5183"
24/07/2025,"5,5215","5,5214","5,5398","5,5115"
23/07/2025,"5,5212","5,5653","5,5781","5,5147"
22/07/2025,"5,5657","5,5674","5,5908","5,5514"
21/07/2025,"5,5671","5,5795","5,6115","5,5503"
18/07/2025,"5,579","5,5475","5,5984","5,5228"
17/07/2025,"5,5449","5,5689","5,6103","5,537"
16/07/2025,"5,569","5,5571","5,5952","5,5409"
15/07/2025,"5,5571","5,5896","5,6049","5,5345"
14/07/2025,"5,5893","5,5598","5,5937","5,544"
11/07/2025,"5,5589","5,5319","5,5925","5,5294"
10/07/2025,"5,5321","5,5771","5,6285","5,5243"
09/07/2025,"5,5766","5,4471","5,6057","5,4451"
08/07/2025,"5,4474","5,4884","5,4918","5,4353"
07/07/2025,"5,488","5,4211","5,4891","5,421"
04/07/2025,"5,4212","5,4092","5,4266","5,4022"
03/07/2025,"5,409","5,4244","5,4475","5,4026"
02/07/2025,"5,424","5,4585","5,4985","5,4151"
01/07/2025,"5,4588","5,4321","5,4703","5,4183"
30/06/2025,"5,4326","5,4846","5,5073","5,4234"
27/06/2025,"5,4856","5,488","5,5045","5,4587"
26/06/2025,"5,489","5,5639","5,5646","5,4882"
25/06/2025,"5,5637","5,5109","5,574","5,5065"
24/06/2025,"5,5113","5,4957","5,5238","5,4752"
23/06/2025,"5,4965","5,5131","5,5437","5,4941"
20/06/2025,"5,5132","5,4916","5,5277","5,468"
19/06/2025,"5,4916","5,4915","5,4932","5,487"
18/06/2025,"5,4917","5,4995","5,5116","5,475"
17/06/2025,"5,4997","5,492","5,5076","5,4656"
16/06/2025,"5,492","5,5437","5,5437","5,4852"
13/06/2025,"5,5439","5,5375","5,594","5,5305"
12/06/2025,"5,5375","5,5369","5,5596","5,5245"
11/06/2025,"5,5364","5,5744","5,5814","5,5218"
10/06/2025,"5,5744","5,5587","5,5777","5,5384"
09/06/2025,"5,5588","5,5629","5,5992","5,5506"
06/06/2025,"5,5594","5,589","5,6183","5,5581"
05/06/2025,"5,5893","5,6366","5,6381","5,5775"
04/06/2025,"5,6368","5,6389","5,6531","5,6087"
03/06/2025,"5,6393","5,674","5,7107","5,6247"
02/06/2025,"5,6734","5,7236","5,7236","5,6663"
30/05/2025,"5,7227","5,6666","5,741","5,6495"
29/05/2025,"5,6666","5,6897","5,7036","5,6421"
28/05/2025,"5,689","5,6417","5,7182","5,6374"
27/05/2025,"5,6424","5,6691","5,6747","5,6354"
26/05/2025,"5,6693","5,6467","5,6787","5,6352"
23/05/2025,"5,6468","5,7163","5,7459","5,6432"
22/05/2025,"5,716","5,6455","5,7167","5,5946"
21/05/2025,"5,6458","5,668","5,6785","5,6402"
20/05/2025,"5,6682","5,6516","5,6835","5,6412"
19/05/2025,"5,6516","5,6638","5,6911","5,6315"
16/05/2025,"5,6633","5,6821","5,714","5,661"
15/05/2025,"5,6821","5,6378","5,6977","5,6136"
14/05/2025,"5,6384","5,6088","5,639","5,5824"
13/05/2025,"5,6085","5,6749","5,6758","5,595"
12/05/2025,"5,6752","5,65","5,7065","5,6498"
09/05/2025,"5,6556","5,662","5,6806","5,6376"
08/05/2025,"5,6615","5,7454","5,7489","5,6597"
07/05/2025,"5,7459","5,7142","5,7644","5,6962"
06/05/2025,"5,7135","5,6879","5,7384","5,6865"
05/05/2025,"5,6886","5,6553","5,6905","5,6286"
02/05/2025,"5,6579","5,6709","5,6739","5,6259"
01/05/2025,"5,6734","5,6734","5,6734","5,6734"
30/04/2025,"5,6748","5,62","5,6871","5,6031"
29/04/2025,"5,621","5,6544","5,6633","5,6191"
28/04/2025,"5,6546","5,6872","5,7005","5,646"
25/04/2025,"5,6841","5,6823","5,7077","5,6641"
24/04/2025,"5,6833","5,7068","5,7114","5,6622"
23/04/2025,"5,7096","5,7251","5,7286","5,6558"
22/04/2025,"5,7255","5,807","5,8073","5,718"
21/04/2025,"5,8067","5,8073","5,8073","5,807"
18/04/2025,"5,8067","5,8073","5,8119","5,8066"
17/04/2025,"5,8063","5,8667","5,8887","5,7964"
16/04/2025,"5,8664","5,8868","5,916","5,852"
15/04/2025,"5,8859","5,853","5,9044","5,833"
14/04/2025,"5,8551","5,8658","5,8753","5,8279"
11/04/2025,"5,8648","5,8855","5,92","5,8168"
10/04/2025,"5,8856","5,8219","5,9556","5,8177"
09/04/2025,"5,8215","6,0116","6,0966","5,8218"
08/04/2025,"6,0109","5,9143","6,0199","5,8597"
07/04/2025,"5,9139","5,8441","5,9325","5,8156"
04/04/2025,"5,8425","5,6286","5,8541","5,6271"
03/04/2025,"5,629","5,6635","5,6657","5,5929"
02/04/2025,"5,6607","5,6818","5,7148","5,6487"
01/04/2025,"5,6815","5,7052","5,7334","5,6729"
31/03/2025,"5,7047","5,7585","5,7861","5,7007"
28/03/2025,"5,7604","5,746","5,7825","5,739"
27/03/2025,"5,7452","5,7362","5,7715","5,722"
26/03/2025,"5,7359","5,6998","5,7483","5,6933"
25/03/2025,"5,6989","5,7652","5,7661","5,6773"
24/03/2025,"5,7646","5,7291","5,7726","5,7021"
21/03/2025,"5,7291","5,6804","5,7347","5,6754"
20/03/2025,"5,6797","5,6499","5,6816","5,6452"
19/03/2025,"5,6485","5,6713","5,6914","5,632"
18/03/2025,"5,6705","5,6836","5,7145","5,6556"
17/03/2025,"5,6835","5,741","5,7421","5,6657"
14/03/2025,"5,7385","5,8002","5,8096","5,7094"
13/03/2025,"5,799","5,7993","5,8365","5,7912"
12/03/2025,"5,7978","5,8109","5,8476","5,7853"
11/03/2025,"5,8103","5,8573","5,8574","5,8031"
10/03/2025,"5,8555","5,7912","5,8732","5,7722"
07/03/2025,"5,7874","5,7646","5,8005","5,7511"
06/03/2025,"5,7639","5,74","5,781","5,7323"
05/03/2025,"5,7394","5,8854","5,8854","5,7387"
04/03/2025,"5,8852","5,8852","5,8852","5,8852"
03/03/2025,"5,8852","5,8852","5,8852","5,8852"
28/02/2025,"5,8852","5,8351","5,9184","5,8227"
27/02/2025,"5,8401","5,817","5,8413","5,7957"
26/02/2025,"5,8035","5,742","5,8188","5,7333"
25/02/2025,"5,7396","5,7708","5,8137","5,7386"
24/02/2025,"5,7785","5,7302","5,7825","5,7068"
21/02/2025,"5,732","5,7027","5,7368","5,6936"
20/02/2025,"5,7029","5,7218","5,7218","5,6861"
19/02/2025,"5,7214","5,693","5,7329","5,6825"
18/02/2025,"5,6892","5,7102","5,7253","5,6752"
17/02/2025,"5,713","5,7033","5,7237","5,695"
14/02/2025,"5,7042","5,7673","5,7707","5,6928"
13/02/2025,"5,7669","5,7642","5,7997","5,7548"
12/02/2025,"5,7649","5,7653","5,7878","5,7429"
11/02/2025,"5,7635","5,7877","5,8078","5,7571"
10/02/2025,"5,7874","5,8095","5,8243","5,7638"
07/02/2025,"5,8058","5,7622","5,8131","5,7349"
06/02/2025,"5,7617","5,8044","5,8246","5,7485"
05/02/2025,"5,7973","5,7586","5,8179","5,7491"
04/02/2025,"5,754","5,8008","5,8271","5,7527"
03/02/2025,"5,8066","5,8404","5,9052","5,7951"
31/01/2025,"5,841","5,8735","5,8735","5,8106"
30/01/2025,"5,874","5,8706","5,9332","5,8473"
29/01/2025,"5,8563","5,8633","5,8892","5,842"
28/01/2025,"5,8571","5,8953","5,9205","5,8557"
27/01/2025,"5,8926","5,9447","5,956","5,8926"
