Dia,Cidade,Operacao,Pedidos,Horas_Operacionais,Receita,Pedidos_Cancelados,Taxa_Cancelamento_Pct,Meta_Pedidos,Pedidos_Por_Hora,Receita_Por_Hora,Atingimento_Meta_Pct
2025-01-01,São Paulo,Operação A,18653,121.4,831751.34,880,4.72,18227,153.65,6851.33,102.34
2025-01-01,São Paulo,Operação B,15398,100.9,743982.88,633,4.11,15149,152.61,7373.47,101.64
2025-01-01,São Paulo,Operação C,14002,86.9,562128.9,437,3.13,13055,161.13,6468.69,107.25
2025-01-01,Rio de Janeiro,Operação A,14171,105.4,497406.76,432,3.05,15835,134.45,4719.23,89.49
2025-01-01,Rio de Janeiro,Operação B,13183,83.1,505804.07,312,2.37,12483,158.64,6086.69,105.61
2025-01-01,Rio de Janeiro,Operação C,13692,89.6,578762.38,323,2.36,13463,152.81,6459.4,101.7
2025-01-01,Curitiba,Operação A,12679,81.1,474144.21,481,3.8,12175,156.34,5846.41,104.14
2025-01-01,Curitiba,Operação B,10581,69.6,418935.37,527,4.98,10453,152.03,6019.19,101.22
2025-01-01,Curitiba,Operação C,9320,64.8,422104.47,235,2.52,9740,143.83,6513.96,95.69
2025-01-01,Belo Horizonte,Operação A,10930,81.6,400991.71,399,3.66,12259,133.95,4914.11,89.16
2025-01-01,Belo Horizonte,Operação B,11760,74.9,488479.9,383,3.26,11245,157.01,6521.76,104.58
2025-01-01,Belo Horizonte,Operação C,7514,51.0,301743.04,326,4.35,7658,147.33,5916.53,98.12
2025-01-01,Campinas,Operação A,9949,73.1,430755.25,317,3.19,10984,136.1,5892.68,90.58
2025-01-01,Campinas,Operação B,9187,56.8,423741.17,389,4.25,8525,161.74,7460.23,107.77
2025-01-01,Campinas,Operação C,7326,48.2,317399.34,313,4.28,7246,151.99,6585.05,101.1
2025-01-02,São Paulo,Operação A,17568,114.5,660111.63,446,2.54,17225,153.43,5765.17,101.99
