data,ultimo,aberturaa,maxima,minima,Vol.,Var%
"31.12.2019","4,0190","4,0197","4,0198","4,0194","0,00K","0,00%"
"30.12.2019","4,0191","4,0490","4,0490","4,0084","23,18K","-0,66%"
"27.12.2019","4,0456","4,0566","4,0620","4,0347","26,83K","-0,25%"
"26.12.2019","4,0557","4,0825","4,0825","4,0457","23,72K","-0,68%"
"25.12.2019","4,0833","4,0833","4,0833","4,0833","","0,00%"
"24.12.2019","4,0833","4,0838","4,0838","4,0838","","0,00%"
"23.12.2019","4,0833","4,1020","4,1020","4,0574","28,35K","-0,46%"
"20.12.2019","4,1022","4,0704","4,1026","4,0580","38,26K","0,81%"
"19.12.2019","4,0694","4,0634","4,0706","4,0509","32,92K","0,16%"
"18.12.2019","4,0630","4,0684","4,0767","4,0462","35,09K","-0,21%"
"17.12.2019","4,0716","4,0632","4,0785","4,0506","30,89K","0,22%"
"16.12.2019","4,0628","4,1105","4,1105","4,0547","32,11K","-1,10%"
"13.12.2019","4,1080","4,0920","4,1185","4,0752","54,45K","0,43%"
"12.12.2019","4,0905","4,1242","4,1316","4,0817","55,40K","-0,81%"
"11.12.2019","4,1238","4,1463","4,1467","4,1076","42,58K","-0,55%"
"10.12.2019","4,1467","4,1427","4,1517","4,1327","40,12K","0,11%"
"09.12.2019","4,1422","4,1415","4,1613","4,1239","32,29K","0,03%"
"06.12.2019","4,1411","4,1860","4,1951","4,1340","43,08K","-1,06%"
"05.12.2019","4,1856","4,2077","4,2238","4,1765","38,57K","-0,53%"
"04.12.2019","4,2077","4,2054","4,2109","4,1827","42,35K","0,03%"
"03.12.2019","4,2063","4,2236","4,2245","4,1850","46,41K","-0,40%"
"02.12.2019","4,2230","4,2362","4,2541","4,2079","45,71K","-0,32%"
"29.11.2019","4,2364","4,1894","4,2460","4,1830","43,33K","1,11%"
"28.11.2019","4,1900","4,2641","4,2659","4,1901","39,54K","-1,73%"
"27.11.2019","4,2636","4,2295","4,2714","4,2265","38,00K","0,72%"
"26.11.2019","4,2330","4,2269","4,2778","4,2269","60,57K","0,15%"
"25.11.2019","4,2266","4,1989","4,2313","4,1874","37,93K","0,72%"
"22.11.2019","4,1962","4,1940","4,2013","4,1724","43,23K","0,08%"
"21.11.2019","4,1930","4,1951","4,2244","4,1830","56,82K","-0,06%"
"20.11.2019","4,1955","4,1933","4,1980","4,1933","0,01K","0,03%"
"19.11.2019","4,1942","4,2055","4,2197","4,1859","50,31K","-0,56%"
"18.11.2019","4,2177","4,1785","4,2197","4,1697","40,67K","0,52%"
"15.11.2019","4,1957","4,1958","4,1962","4,1958","","0,02%"
"14.11.2019","4,1949","4,1698","4,1993","4,1627","50,26K","0,59%"
"13.11.2019","4,1702","4,1693","4,1904","4,1635","57,75K","0,06%"
"12.11.2019","4,1675","4,1529","4,1879","4,1427","62,53K","0,38%"
"11.11.2019","4,1516","4,1679","4,1717","4,1355","37,99K","-0,28%"
"08.11.2019","4,1633","4,1146","4,1709","4,1081","56,33K","1,53%"
"07.11.2019","4,1004","4,0840","4,1035","4,0420","61,38K","0,42%"
"06.11.2019","4,0834","3,9935","4,0904","3,9754","58,59K","2,25%"
"05.11.2019","3,9935","4,0123","4,0243","3,9831","44,96K","-0,54%"
"04.11.2019","4,0152","3,9895","4,0200","3,9750","38,79K","0,64%"
"01.11.2019","3,9897","4,0173","4,0211","3,9692","55,39K","-0,69%"
"31.10.2019","4,0174","3,9926","4,0379","3,9638","50,33K","0,70%"
"30.10.2019","3,9895","3,9990","4,0323","3,9815","51,74K","-0,21%"
"29.10.2019","3,9980","3,9912","4,0053","3,9835","45,45K","0,20%"
"28.10.2019","3,9902","4,0028","4,0098","3,9724","39,48K","-0,32%"
"25.10.2019","4,0029","4,0421","4,0421","3,9914","44,12K","-0,92%"
"24.10.2019","4,0401","4,0368","4,0458","3,9986","48,65K","0,16%"
"23.10.2019","4,0337","4,0807","4,0926","4,0281","50,87K","-1,18%"
"22.10.2019","4,0817","4,1294","4,1320","4,0609","57,61K","-1,13%"
"21.10.2019","4,1285","4,1119","4,1523","4,1113","42,19K","0,44%"
"18.10.2019","4,1105","4,1637","4,1657","4,1098","53,80K","-1,26%"
"17.10.2019","4,1630","4,1510","4,1816","4,1264","59,77K","0,30%"
"16.10.2019","4,1505","4,1803","4,1873","4,1469","50,11K","-0,72%"
"15.10.2019","4,1805","4,1262","4,1817","4,1213","46,29K","1,33%"
"14.10.2019","4,1255","4,1064","4,1381","4,1064","27,88K","0,39%"
"11.10.2019","4,1094","4,1081","4,1266","4,0805","67,43K","0,01%"
"10.10.2019","4,1089","4,1096","4,1379","4,0894","67,57K","0,00%"
"09.10.2019","4,1089","4,0953","4,1113","4,0698","51,23K","0,36%"
"08.10.2019","4,0942","4,1071","4,1133","4,0734","57,47K","-0,31%"
"07.10.2019","4,1068","4,0561","4,1102","4,0560","49,72K","1,27%"
"04.10.2019","4,0551","4,0843","4,0863","4,0498","53,21K","-0,69%"
"03.10.2019","4,0832","4,1290","4,1304","4,0742","56,83K","-1,10%"
"02.10.2019","4,1287","4,1575","4,1823","4,1272","51,36K","-0,70%"
"01.10.2019","4,1578","4,1564","4,1858","4,1522","48,79K","0,06%"
"30.09.2019","4,1551","4,1625","4,1723","4,1415","38,76K","-0,12%"
"27.09.2019","4,1599","4,1706","4,1712","4,1446","45,22K","-0,26%"
"26.09.2019","4,1707","4,1484","4,1734","4,1214","51,66K","0,55%"
"25.09.2019","4,1477","4,1638","4,1949","4,1446","50,50K","-0,41%"
"24.09.2019","4,1647","4,1643","4,1844","4,1536","50,14K","0,04%"
"23.09.2019","4,1629","4,1500","4,1847","4,1444","38,40K","0,38%"
"20.09.2019","4,1472","4,1673","4,1839","4,1458","58,31K","-0,48%"
"19.09.2019","4,1672","4,1108","4,1690","4,1073","51,43K","1,38%"
"18.09.2019","4,1106","4,0776","4,1145","4,0728","51,73K","0,82%"
"17.09.2019","4,0773","4,0950","4,1174","4,0718","48,23K","-0,07%"
"16.09.2019","4,0801","4,0858","4,1067","4,0749","39,02K","-0,10%"
"13.09.2019","4,0840","4,0621","4,0957","4,0424","44,45K","0,59%"
"12.09.2019","4,0602","4,0679","4,0710","4,0266","55,21K","-0,17%"
"11.09.2019","4,0671","4,0808","4,0926","4,0511","46,98K","-0,31%"
"10.09.2019","4,0798","4,0955","4,1297","4,0789","60,88K","-0,35%"
"09.09.2019","4,0943","4,0630","4,1044","4,0478","47,06K","0,83%"
"06.09.2019","4,0607","4,1085","4,1085","4,0534","54,47K","-1,15%"
"05.09.2019","4,1081","4,0949","4,1152","4,0695","49,62K","0,32%"
"04.09.2019","4,0948","4,1675","4,1678","4,0889","54,41K","-1,75%"
