date;price;market_cap;total_volume
28/04/2013;R$ 135,30;R$ 1.500.517.590,00;0
29/04/2013;R$ 141,96;R$ 1.575.032.004,00;0
30/04/2013;R$ 135,30;R$ 1.501.657.493,00;0
01/05/2013;R$ 117,00;R$ 1.298.951.550,00;0
02/05/2013;R$ 103,43;R$ 1.148.667.722,00;0
03/05/2013;R$ 91,01;R$ 1.011.066.494,00;0
04/05/2013;R$ 111,25;R$ 1.236.351.844,00;0
05/05/2013;R$ 116,79;R$ 1.298.377.788,00;0
06/05/2013;R$ 118,33;R$ 1.315.992.304,00;0
07/05/2013;R$ 106,40;R$ 1.183.766.500,00;0
08/05/2013;R$ 112,64;R$ 1.253.655.040,00;0
09/05/2013;R$ 113,00;R$ 1.258.130.700,00;0
10/05/2013;R$ 118,78;R$ 1.322.989.457,00;0
11/05/2013;R$ 113,01;R$ 1.259.239.352,00;0
12/05/2013;R$ 114,71;R$ 1.278.708.679,00;0
13/05/2013;R$ 117,18;R$ 1.306.721.052,00;0
14/05/2013;R$ 114,50;R$ 1.277.278.988,00;0
15/05/2013;R$ 114,16;R$ 1.273.849.681,00;0
16/05/2013;R$ 115,50;R$ 1.289.277.412,00;0
17/05/2013;R$ 123,10;R$ 1.374.605.382,00;0
18/05/2013;R$ 123,88;R$ 1.383.755.085,00;0
19/05/2013;R$ 120,50;R$ 1.346.499.262,00;0
20/05/2013;R$ 122,58;R$ 1.370.131.821,00;0
21/05/2013;R$ 122,90;R$ 1.374.154.118,00;0
22/05/2013;R$ 123,00;R$ 1.375.791.900,00;0
23/05/2013;R$ 125,75;R$ 1.407.041.528,00;0
24/05/2013;R$ 131,70;R$ 1.474.180.657,00;0
25/05/2013;R$ 130,77;R$ 1.464.316.690,00;0
26/05/2013;R$ 134,60;R$ 1.507.769.010,00;0
27/05/2013;R$ 128,99;R$ 1.445.444.606,00;0
28/05/2013;R$ 129,18;R$ 1.448.115.967,00;0
29/05/2013;R$ 132,13;R$ 1.481.781.795,00;0
30/05/2013;R$ 127,40;R$ 1.429.308.634,00;0
31/05/2013;R$ 127,98;R$ 1.436.386.730,00;0
01/06/2013;R$ 129,09;R$ 1.449.499.974,00;0
02/06/2013;R$ 121,30;R$ 1.362.684.200,00;0
03/06/2013;R$ 121,16;R$ 1.361.765.704,00;0
05/06/2013;R$ 121,31;R$ 1.364.113.640,00;0
06/06/2013;R$ 121,71;R$ 1.369.233.814,00;0
07/06/2013;R$ 119,00;R$ 1.339.234.925,00;0
08/06/2013;R$ 110,09;R$ 1.239.395.972,00;0
09/06/2013;R$ 108,40;R$ 1.220.874.393,00;0
10/06/2013;R$ 997,50;R$ 1.123.844.958,00;0
11/06/2013;R$ 105,99;R$ 1.194.605.341,00;0
12/06/2013;R$ 108,90;R$ 1.227.904.672,00;0
13/06/2013;R$ 108,40;R$ 1.222.819.750,00;0
14/06/2013;R$ 102,77;R$ 1.159.766.150,00;0
15/06/2013;R$ 98,40;R$ 1.110.902.570,00;0
16/06/2013;R$ 99,99;R$ 1.129.287.060,00;0
17/06/2013;R$ 100,42;R$ 1.134.610.433,00;0
18/06/2013;R$ 102,00;R$ 1.152.834.600,00;0
19/06/2013;R$ 106,55;R$ 1.204.638.318,00;0
20/06/2013;R$ 107,90;R$ 1.220.273.470,00;0
21/06/2013;R$ 110,91;R$ 1.254.733.148,00;0
22/06/2013;R$ 109,02;R$ 1.233.750.009,00;0
23/06/2013;R$ 107,25;R$ 1.214.260.369,00;0
24/06/2013;R$ 108,00;R$ 1.223.181.000,00;0
25/06/2013;R$ 102,44;R$ 1.160.635.652,00;0
26/06/2013;R$ 103,69;R$ 1.175.194.910,00;0
27/06/2013;R$ 103,39;R$ 1.172.207.388,00;0
28/06/2013;R$ 99,66;R$ 1.130.338.737,00;0
29/06/2013;R$ 933,31;R$ 1.058.953.327,00;0
30/06/2013;R$ 953,89;R$ 1.082.693.996,00;0
01/07/2013;R$ 97,50;R$ 1.107.084.792,00;0
02/07/2013;R$ 89,49;R$ 1.016.445.146,00;0
03/07/2013;R$ 90,80;R$ 1.031.653.673,00;0
04/07/2013;R$ 78,80;R$ 895.707.780,00;0
05/07/2013;R$ 78,48;R$ 892.405.890,00;0
06/07/2013;R$ 67,81;R$ 771.368.060,00;0
07/07/2013;R$ 680,83;R$ 774.804.401,00;0
08/07/2013;R$ 77,50;R$ 882.356.395,00;0
09/07/2013;R$ 763,92;R$ 870.081.997,00;0
10/07/2013;R$ 77,00;R$ 877.378.425,00;0
11/07/2013;R$ 85,75;R$ 977.479.256,00;0
12/07/2013;R$ 93,80;R$ 1.069.724.400,00;0
13/07/2013;R$ 880,62;R$ 1.004.551.934,00;0
14/07/2013;R$ 95,58;R$ 1.090.715.949,00;0
15/07/2013;R$ 94,00;R$ 1.073.073.450,00;0
16/07/2013;R$ 97,30;R$ 1.111.179.853,00;0
17/07/2013;R$ 989,80;R$ 1.130.735.527,00;0
18/07/2013;R$ 97,80;R$ 1.117.707.300,00;0
19/07/2013;R$ 887,87;R$ 1.015.062.893,00;0
20/07/2013;R$ 91,57;R$ 1.047.311.253,00;0
21/07/2013;R$ 89,28;R$ 1.021.492.656,00;0
22/07/2013;R$ 903,67;R$ 1.034.399.451,00;0
23/07/2013;R$ 917,02;R$ 1.050.054.379,00;0
24/07/2013;R$ 945,81;R$ 1.083.333.286,00;0
25/07/2013;R$ 94,53;R$ 1.083.076.902,00;0
26/07/2013;R$ 969,50;R$ 1.111.232.483,00;0
27/07/2013;R$ 94,13;R$ 1.079.278.107,00;0
28/07/2013;R$ 94,01;R$ 1.078.286.703,00;0
29/07/2013;R$ 985,76;R$ 1.131.111.629,00;0
30/07/2013;R$ 101,50;R$ 1.165.105.812,00;0
31/07/2013;R$ 110,34;R$ 1.267.183.179,00;0
01/08/2013;R$ 106,23;R$ 1.220.481.782,00;0
02/08/2013;R$ 101,61;R$ 1.167.849.454,00;0
03/08/2013;R$ 103,70;R$ 1.192.378.895,00;0
04/08/2013;R$ 104,86;R$ 1.206.152.150,00;0
05/08/2013;R$ 106,56;R$ 1.226.188.584,00;0
