Data,Ultimo,Abertura,Maxima,Minima
12/31/2019,"4,019","4,0197","4,0198","4,0194"
12/30/2019,"4,0191","4,049","4,049","4,0084"
12/27/2019,"4,0456","4,0566","4,062","4,0347"
12/26/2019,"4,0557","4,0825","4,0825","4,0457"
12/25/2019,"4,0833","4,0833","4,0833","4,0833"
12/24/2019,"4,0833","4,0838","4,0838","4,0838"
12/23/2019,"4,0833","4,102","4,102","4,0574"
12/20/2019,"4,1022","4,0704","4,1026","4,058"
12/19/2019,"4,0694","4,0634","4,0706","4,0509"
12/18/2019,"4,063","4,0684","4,0767","4,0462"
12/17/2019,"4,0716","4,0632","4,0785","4,0506"
12/16/2019,"4,0628","4,1105","4,1105","4,0547"
12/13/2019,"4,108","4,092","4,1185","4,0752"
12/12/2019,"4,0905","4,1242","4,1316","4,0817"
12/11/2019,"4,1238","4,1463","4,1467","4,1076"
12/10/2019,"4,1467","4,1427","4,1517","4,1327"
12/09/2019,"4,1422","4,1415","4,1613","4,1239"
12/06/2019,"4,1411","4,186","4,1951","4,134"
12/05/2019,"4,1856","4,2077","4,2238","4,1765"
12/04/2019,"4,2077","4,2054","4,2109","4,1827"
12/03/2019,"4,2063","4,2236","4,2245","4,185"
12/02/2019,"4,223","4,2362","4,2541","4,2079"
11/29/2019,"4,2364","4,1894","4,246","4,183"
11/28/2019,"4,19","4,2641","4,2659","4,1901"
11/27/2019,"4,2636","4,2295","4,2714","4,2265"
11/26/2019,"4,233","4,2269","4,2778","4,2269"
11/25/2019,"4,2266","4,1989","4,2313","4,1874"
11/22/2019,"4,1962","4,194","4,2013","4,1724"
11/21/2019,"4,193","4,1951","4,2244","4,183"
11/20/2019,"4,1955","4,1933","4,198","4,1933"
11/19/2019,"4,1942","4,2055","4,2197","4,1859"
11/18/2019,"4,2177","4,1785","4,2197","4,1697"
11/15/2019,"4,1957","4,1958","4,1962","4,1958"
11/14/2019,"4,1949","4,1698","4,1993","4,1627"
11/13/2019,"4,1702","4,1693","4,1904","4,1635"
11/12/2019,"4,1675","4,1529","4,1879","4,1427"
11/11/2019,"4,1516","4,1679","4,1717","4,1355"
11/08/2019,"4,1633","4,1146","4,1709","4,1081"
11/07/2019,"4,1004","4,084","4,1035","4,042"
11/06/2019,"4,0834","3,9935","4,0904","3,9754"
11/05/2019,"3,9935","4,0123","4,0243","3,9831"
11/04/2019,"4,0152","3,9895","4,02","3,975"
11/01/2019,"3,9897","4,0173","4,0211","3,9692"
10/31/2019,"4,0174","3,9926","4,0379","3,9638"
10/30/2019,"3,9895","3,999","4,0323","3,9815"
10/29/2019,"3,998","3,9912","4,0053","3,9835"
