,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Despesas Fixas,,,Despesas variáveis,,,,Entradas e saídas do mês ( Total ),
,Tipo,Saída,,Tipo,Saída,,,Entrada ,Saídas
,Celular,,,Comida/Restaurante,,,,0,0
,Faculdade,,,Uber,,,,Saldo Final:,0
,Spotify,,,Cortar Cabelo,,,,,
,,,,Roupas,,,,,
,,,,Compras On-line,,,,,
,,,,Gastos VR,,,,,
,,,,Auto-cuidado,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Total,0,,Total,0,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Economias e Investimentos,,,,Receitas,,,,
,Tipo,Investimento,Retorno Final do Mês,,Tipo,Entrada,,,
,,,,,Salário,,,,
,,,,,Vale Refeição,,,,
,,,,,Vendas,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Total,0,0,,Total,0,,,
